query	superkingdom	kingdom	phylum	subphylum	superclass	class	subclass	infraclass	cohort	subcohort	superorder	order	suborder	infraorder	superfamily	family	subfamily	tribe	genus	subgenus	species
otu_097	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Atherinomorphae	Atherinomorphae	Cyprinodontiformes	Cyprinodontoidei	Goodeidae	Goodeidae	Goodeidae	Xenotoca	Xenotoca	Xenotoca	Xenotoca eiseni	Xenotoca eiseni
otu_098	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Embiotocidae	Embiotocidae	Embiotocidae	Embiotocidae	Embiotocidae	Embiotocidae	Embiotocidae	Embiotoca	Embiotoca	Embiotoca	Embiotoca jacksoni	Embiotoca jacksoni
otu_099	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Characiphysae	Siluriformes	Siluroidei	Plotosidae	Plotosidae	Plotosidae	Plotosus	Plotosus	Plotosus	unidentified Plotosus	unidentified Plotosus
otu_100	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Galaxiiformes	Galaxiiformes	Galaxiiformes	Galaxiidae	Galaxiidae	Galaxiidae	Galaxiidae	Galaxiinae	Galaxiini	Galaxias	Galaxias truttaceus	Galaxias truttaceus
otu_101	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Centrarchiformes	Centrarchiformes	Centrarchiformes	Cirrhitioidei	Cirrhitioidei	Cirrhitioidei	Cirrhitidae	Cirrhitichthys	Cirrhitichthys	Cirrhitichthys	Cirrhitichthys aprinus	Cirrhitichthys aprinus
otu_102	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Cypriniphysae	Cypriniformes	Cyprinoidei	Psilorhynchidae	Psilorhynchidae	Psilorhynchidae	Psilorhynchus	Psilorhynchus	Psilorhynchus	Psilorhynchus sucatio	Psilorhynchus sucatio
otu_103	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Perciformes	Perciformes	Perciformes	Cottioidei	Cottales	Cottidae	Cottidae	Trachidermus	Trachidermus	Trachidermus	Trachidermus fasciatus	Trachidermus fasciatus
otu_104	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Cypriniphysae	Cypriniformes	Cyprinoidei	Danionidae	Danionidae	Danionidae	Esominae	Esomus	Esomus	Esomus metallicus	Esomus metallicus
otu_105	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Lophiiformes	Lophiiformes	Lophiiformes	Chaunacoidei	Chaunacidae	Chaunacidae	Chaunacidae	Chaunax	Chaunax	Chaunax	Chaunax abei	Chaunax abei
otu_106	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Beryciformes	Beryciformes	Beryciformes	Cetomimidae	Cetomimidae	Cetomimidae	Cetomimidae	Procetichthys	Procetichthys	Procetichthys	Procetichthys kreffti	Procetichthys kreffti
otu_107	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Pleuronectiformes	Pleuronectiformes	Pleuronectiformes	Pleuronectoidei	Bothidae	Bothidae	Bothidae	Grammatobothus	Grammatobothus	Grammatobothus	Grammatobothus polyophthalmus	Grammatobothus polyophthalmus
otu_108	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Cypriniphysae	Cypriniformes	Cyprinoidei	Danionidae	Danionidae	Danionidae	Rasborinae	Amblypharyngodon	Amblypharyngodon	Amblypharyngodon mola	Amblypharyngodon mola
otu_109	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Myctophiformes	Myctophiformes	Myctophiformes	Myctophidae	Myctophidae	Myctophidae	Myctophidae	Triphoturus	Triphoturus	Triphoturus	Triphoturus mexicanus	Triphoturus mexicanus
otu_110	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Characiphysae	Siluriformes	Siluroidei	Ictaluridae	Ictaluridae	Ictaluridae	Ictalurus	Ictalurus	Ictalurus	unidentified Ictalurus	unidentified Ictalurus
otu_111	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Perciformes	Perciformes	Perciformes	Cottioidei	Zoarcales	Anarhichadidae	Anarhichadidae	Anarhichas	Anarhichas	Anarhichas	unidentified Anarhichas	unidentified Anarhichas
otu_112	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Tetraodontiformes	Tetraodontiformes	Tetraodontiformes	Moloidei	Molidae	Molidae	Molidae	Masturus	Masturus	Masturus	Masturus lanceolatus	Masturus lanceolatus
otu_113	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Gobiiformes	Gobiiformes	Gobiiformes	Gobioidei	Gobiidae	Gobiidae	Gobiidae	Gobiinae	Exyrias	Exyrias	Exyrias puntang	Exyrias puntang
otu_114	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Anabantiformes	Anabantiformes	Anabantiformes	Channoidei	Channidae	Channidae	Channidae	Parachanna	Parachanna	Parachanna	Parachanna insignis	Parachanna insignis
otu_115	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Anguilliformes	Anguilliformes	Anguilliformes	Anguilliformes	Congridae	Congridae	Congridae	Congridae	Heterocongrinae	unidentified Heterocongrinae	unidentified Heterocongrinae	unidentified Heterocongrinae	unidentified Heterocongrinae
otu_116	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Cichlomorphae	Cichlomorphae	Cichliformes	Cichlidae	Cichlidae	Cichlidae	Cichlidae	Astronotinae	Astronotini	Astronotus	Astronotus ocellatus	Astronotus ocellatus
otu_117	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Characiphysae	Gymnotiformes	Sternopygoidei	Rhamphichthyidae	Rhamphichthyidae	Rhamphichthyidae	Gymnorhamphichthys	Gymnorhamphichthys	Gymnorhamphichthys	Gymnorhamphichthys sp. NM-2010	Gymnorhamphichthys sp. NM-2010
